Start;End;;Skipped song count
2024-01-20;2024-02-16;Follicular Phase1;8925
;;;
2024-02-18;2024-03-01;Luteal Phase2;1058
2024-03-02;2024-03-20;Follicular Phase2;4534
;;;
2024-03-22;2024-04-03;Luteal Phase3;2107
2024-04-04;2024-04-28;Follicular Phase3;6379
;;;
2024-04-30;2024-05-12;Luteal Phase4;1378
2024-05-13;2024-05-29;Follicular Phase4;3757
;;;
2024-05-31;2024-06-12;Luteal Phase5;3345
2024-06-13;2024-06-29;Follicular Phase5;5500
;;;
2024-07-01;2024-07-13;Luteal Phase6;1844
2024-07-14;2024-07-31;Follicular Phase6;7478
;;;
2024-08-02;2024-08-14;Luteal Phase7;2436
2024-08-15;2024-09-01;Follicular Phase7;4469
;;;
2024-09-03;2024-09-15;Luteal Phase8;2838
2024-09-16;2024-10-11;Follicular Phase8;1147
;;;
2024-10-13;2024-10-25;Luteal Phase 9;588
2024-10-26;2024-11-10;Follicular Phase9;665
;;;
2024-11-12;2024-11-24;Luteal Phase10;286
