Start,End,Phase
2024-01-20,2024-02-16,Follicular Phase
2024-02-17,2024-02-17,Ovulation Phase
2024-02-18,2024-03-01,Luteal Phase
2024-03-02,2024-03-20,Follicular Phase
2024-03-21,2024-03-21,Ovulation Phase
2024-03-22,2024-04-03,Luteal Phase
2024-04-04,2024-04-28,Follicular Phase
2024-04-29,2024-04-29,Ovulation Phase
2024-04-30,2024-05-12,Luteal Phase
2024-05-13,2024-05-29,Follicular Phase
2024-05-30,2024-05-30,Ovulation Phase
2024-05-31,2024-06-12,Luteal Phase
2024-06-13,2024-06-29,Follicular Phase
2024-06-30,2024-06-30,Ovulation Phase
2024-07-01,2024-07-13,Luteal Phase
2024-07-14,2024-07-31,Follicular Phase
2024-08-01,2024-08-01,Ovulation Phase
2024-08-02,2024-08-14,Luteal Phase
2024-08-15,2024-09-01,Follicular Phase
2024-09-02,2024-09-02,Ovulation Phase
2024-09-03,2024-09-15,Luteal Phase
2024-09-16,2024-10-11,Follicular Phase
2024-10-12,2024-10-12,Ovulation Phase
2024-10-13,2024-10-25,Luteal Phase
2024-10-26,2024-11-10,Follicular Phase
2024-11-11,2024-11-11,Ovulation Phase
2024-11-12,2024-11-24,Luteal Phase
